@relation 7yesSC_con_tra_sz2_it2

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute RCC27 numeric
@attribute RCC28 numeric
@attribute RCC29 numeric
@attribute RCC30 numeric
@attribute RCC31 numeric
@attribute RCC32 numeric
@attribute RCC33 numeric
@attribute RCC34 numeric
@attribute RCC35 numeric
@attribute RCC36 numeric
@attribute RCC37 numeric
@attribute RCC38 numeric
@attribute RCC39 numeric
@attribute RCC40 numeric
@attribute RCC41 numeric
@attribute RCC42 numeric
@attribute RCC43 numeric
@attribute RCC44 numeric
@attribute RCC45 numeric
@attribute RCC46 numeric
@attribute RCC47 numeric
@attribute RCC48 numeric
@attribute RCC49 numeric
@attribute RCC50 numeric
@attribute RCC51 numeric
@attribute RCC52 numeric
@attribute Class {P,N}

@data

5,3,3,1,9,0,11,1,0,3,15,9,4,24,5,0,0,4,1,2,12,0,0,5,21,2,24,1,2,48,72,3,18,5,13,82,108,18,63,61,16,0,14,27,30,15,76,22,9,16,47,176,P
13,3,3,10,29,0,34,8,0,21,54,9,17,83,19,0,1,9,3,4,36,5,0,7,40,69,13,2,3,19,38,1,32,8,0,9,39,11,12,89,28,0,1,9,6,4,27,4,0,6,35,61,P
5,1,16,3,5,0,5,1,0,1,5,4,3,33,2,0,0,1,1,2,7,2,0,4,12,1,4,1,13,2,6,0,7,1,0,1,3,7,3,33,3,0,0,1,1,3,6,1,0,3,15,0,P
0,1,1,0,8,0,13,5,0,6,18,10,2,66,1,0,0,0,2,0,32,3,0,2,19,4,0,1,1,0,7,1,13,5,0,5,19,10,2,67,1,0,0,1,3,0,32,3,0,2,20,4,P
21,7,0,50,80,1,19,8,9,79,110,11,63,72,15,0,13,22,35,19,81,25,6,16,36,189,19,5,1,53,70,1,18,6,8,82,108,13,72,69,17,0,10,21,31,17,81,23,7,14,38,190,P
0,0,0,0,21,0,1,1,0,31,14,0,46,0,8,0,0,8,29,12,8,12,6,0,0,231,0,0,0,2,34,0,0,1,0,29,10,0,37,0,12,0,0,6,15,9,8,8,7,0,0,237,P
4,0,1,16,9,2,7,5,4,36,33,9,23,17,7,0,3,6,8,5,15,5,0,1,14,42,6,0,1,23,18,1,7,5,3,31,35,7,24,14,7,0,3,2,5,3,10,6,0,0,13,48,P
11,2,1,34,28,1,13,0,9,37,25,8,26,31,13,0,2,12,12,12,31,11,0,1,18,42,6,1,1,31,36,0,9,0,10,47,33,11,23,28,15,0,3,14,18,11,33,9,2,5,21,39,P
35,8,7,36,54,4,45,12,4,41,119,21,26,134,15,0,3,16,11,12,82,12,4,22,79,30,34,8,7,36,54,4,48,13,4,40,112,19,26,129,14,0,3,16,11,11,82,12,4,23,79,30,P
11,2,3,30,32,1,24,2,3,23,61,6,14,51,8,0,1,8,13,0,40,5,4,8,21,50,9,0,4,24,24,0,16,1,7,44,64,15,27,40,15,0,3,15,11,4,57,4,2,8,16,53,P
9,1,4,24,32,2,37,6,1,20,44,10,8,144,10,0,0,8,2,0,47,3,0,12,45,6,10,1,4,17,29,2,36,6,1,24,54,10,11,147,10,0,0,9,5,0,44,3,0,11,43,6,P
8,1,9,10,8,0,12,0,2,18,41,15,10,79,3,0,2,9,6,8,39,1,1,9,27,0,10,1,3,11,12,2,17,5,2,11,36,14,10,84,4,0,2,8,6,4,35,1,1,8,27,0,P
3,1,4,9,10,0,8,4,3,10,24,10,6,17,2,0,0,2,3,4,15,4,0,4,10,10,3,1,4,9,10,0,8,4,3,10,24,10,6,17,2,0,0,2,3,4,15,4,0,4,10,10,P
7,0,2,12,27,0,4,1,0,8,8,1,7,2,11,0,0,0,0,0,3,3,0,0,0,72,24,3,1,41,57,5,33,5,8,47,81,23,39,61,21,0,9,22,29,12,57,19,8,13,42,94,P
27,5,8,31,41,4,32,3,3,37,79,15,24,61,15,1,2,16,12,16,58,8,4,6,31,37,31,10,10,20,41,2,34,3,5,41,65,16,26,48,14,0,3,19,9,13,72,7,3,6,35,40,P
7,3,0,43,43,0,13,3,6,50,65,9,32,38,7,0,4,22,12,13,60,14,3,11,35,51,13,3,0,42,36,0,13,3,3,39,57,10,31,37,9,0,3,14,16,11,54,11,5,12,34,49,P
7,3,4,7,28,1,7,2,0,11,11,7,11,9,5,0,0,2,0,1,9,3,0,2,3,64,7,3,4,7,28,1,7,2,0,11,11,7,11,9,5,0,0,2,0,1,9,3,0,2,3,64,P
7,2,2,13,19,1,19,2,1,11,23,6,12,20,8,0,0,13,4,7,24,2,1,6,19,27,3,2,1,9,22,1,12,1,2,14,30,4,14,21,9,0,0,8,4,11,21,2,1,6,24,29,P
17,7,4,27,37,7,23,3,2,21,71,23,18,53,9,0,2,11,9,6,41,4,1,10,38,16,19,8,4,19,33,6,23,3,1,19,56,21,11,49,12,1,3,15,12,14,46,5,5,11,38,11,P
21,5,8,51,76,3,44,8,9,74,97,35,53,45,26,0,10,13,27,22,75,14,7,13,48,118,24,3,10,47,69,3,42,8,5,57,101,20,49,45,20,0,14,24,26,16,84,12,7,13,40,111,P
15,2,3,43,53,2,23,2,9,31,57,14,21,25,20,0,4,8,20,12,38,11,2,8,36,79,16,1,2,43,60,1,25,4,2,35,58,8,17,25,21,0,4,14,13,15,48,7,2,8,34,71,P
8,2,0,16,13,1,14,0,3,11,40,3,7,48,5,0,2,9,3,6,31,3,0,6,24,14,9,3,0,14,12,1,12,0,2,12,42,4,7,41,5,0,3,11,3,8,34,3,0,9,26,13,P
7,1,0,7,9,0,2,2,0,14,26,4,13,12,4,0,2,5,6,2,14,3,3,5,21,31,5,3,4,8,8,1,15,3,0,3,14,3,3,11,2,0,1,3,3,3,12,3,2,3,18,20,P
12,0,0,19,34,1,14,2,0,15,24,9,9,15,10,0,0,2,1,4,15,10,2,4,19,33,11,0,0,14,26,1,7,0,0,16,24,8,13,19,12,0,0,3,2,4,11,11,1,3,15,32,P
15,4,1,30,45,3,23,2,1,25,59,15,22,36,13,0,4,18,7,13,69,5,4,3,27,50,13,2,1,30,49,1,23,2,4,34,52,11,20,33,13,0,3,15,9,12,66,13,4,5,29,53,P
13,2,0,34,28,1,19,1,3,29,51,9,19,46,3,1,1,12,12,7,43,6,4,6,18,65,11,1,0,30,27,0,18,2,4,44,58,5,24,38,7,0,4,12,19,8,61,4,4,7,15,66,P
4,1,1,11,26,3,21,3,3,31,53,10,15,52,8,0,0,4,0,3,17,9,0,8,22,31,3,1,2,19,28,2,19,3,2,22,43,14,13,51,7,0,1,4,1,3,18,9,0,7,20,31,P
4,2,6,12,22,2,25,8,2,18,23,8,11,22,10,0,1,2,5,2,13,8,1,3,13,14,5,1,5,13,37,1,24,6,1,15,14,9,10,17,15,0,1,9,4,3,15,9,2,2,20,11,P
6,0,0,18,27,1,16,2,4,16,20,4,12,9,9,0,5,2,8,8,11,6,3,5,21,55,6,0,1,29,28,0,15,3,0,15,23,3,16,9,12,0,3,3,6,8,13,4,1,6,18,50,P
36,3,4,50,83,3,28,7,8,60,113,21,52,46,16,0,6,26,24,15,49,19,3,12,56,136,29,4,5,47,78,3,27,5,8,58,110,20,53,41,24,1,8,19,24,15,53,14,3,12,54,129,P
10,4,9,20,37,3,39,4,13,29,86,24,19,85,8,0,6,12,12,20,58,11,5,12,56,14,11,2,11,4,8,0,4,5,0,1,18,6,9,6,4,0,0,6,4,9,15,8,3,0,4,72,P
12,0,3,31,42,1,28,4,3,37,78,14,25,49,9,0,2,16,15,17,38,18,3,7,49,58,18,1,2,22,43,2,23,5,1,28,54,12,18,56,10,0,8,23,17,17,41,21,3,6,41,58,P
10,1,2,5,7,0,10,1,1,2,29,6,2,51,6,0,1,2,0,2,21,2,1,12,38,2,7,0,0,4,12,0,9,2,1,3,32,2,5,51,6,0,2,4,0,3,18,4,1,11,35,2,P
19,5,6,59,51,1,34,3,8,55,102,16,38,49,21,0,5,20,13,7,57,16,3,17,42,70,17,3,5,58,54,1,36,6,11,54,98,20,34,51,18,0,5,15,15,5,57,15,3,18,40,69,P
14,4,2,30,34,4,20,2,2,28,63,9,18,41,7,0,2,12,10,5,25,11,5,5,39,42,7,2,2,14,24,0,6,5,2,16,17,1,10,8,6,0,7,6,6,7,14,2,1,6,13,37,P
9,0,12,21,22,3,34,3,7,42,93,22,29,78,5,0,1,18,12,13,60,7,5,8,54,17,9,0,11,24,19,2,29,3,4,37,91,21,24,82,6,0,2,19,10,14,66,6,5,10,52,18,P
2,2,7,3,1,0,9,2,0,5,15,4,6,18,3,0,0,4,1,3,8,0,0,7,24,3,20,6,0,55,100,2,29,3,15,84,101,12,71,67,29,0,7,22,20,19,74,23,6,19,41,170,P
22,9,9,51,79,1,43,6,13,100,90,19,49,48,25,0,7,30,25,23,68,32,6,18,28,166,0,0,3,7,6,0,8,1,1,4,15,1,2,13,1,0,0,2,0,3,13,2,0,4,13,10,P
