@relation 8noSC_con_tra_sz1_it3

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute RCC27 numeric
@attribute RCC28 numeric
@attribute RCC29 numeric
@attribute RCC30 numeric
@attribute RCC31 numeric
@attribute RCC32 numeric
@attribute RCC33 numeric
@attribute RCC34 numeric
@attribute RCC35 numeric
@attribute RCC36 numeric
@attribute RCC37 numeric
@attribute RCC38 numeric
@attribute RCC39 numeric
@attribute RCC40 numeric
@attribute RCC41 numeric
@attribute RCC42 numeric
@attribute RCC43 numeric
@attribute RCC44 numeric
@attribute RCC45 numeric
@attribute RCC46 numeric
@attribute RCC47 numeric
@attribute RCC48 numeric
@attribute RCC49 numeric
@attribute RCC50 numeric
@attribute RCC51 numeric
@attribute RCC52 numeric
@attribute Class {P,N}

@data

0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,0,5,1,20,6,0,0,9,9,8,77,19,0,0,0,0,0,6,0,0,2,25,7,P
6,7,6,2,16,4,42,4,0,3,25,16,14,155,3,0,0,0,3,2,22,3,3,6,16,8,5,5,7,2,20,4,38,5,0,0,26,16,20,158,5,0,0,0,2,4,14,3,3,7,18,10,P
17,10,13,6,47,1,38,3,0,13,18,12,29,73,84,0,0,0,1,1,14,6,3,11,21,15,21,10,13,5,46,1,41,2,0,13,19,10,33,73,86,0,0,0,1,1,14,7,3,12,21,19,P
5,4,6,1,20,4,39,7,0,3,15,16,8,90,17,0,0,3,0,2,16,1,0,9,28,9,7,6,6,1,18,3,40,8,0,3,13,15,9,94,21,0,0,3,0,2,14,1,0,9,27,6,P
5,8,2,8,36,4,39,1,0,3,20,10,16,77,60,0,0,0,3,4,9,3,1,5,21,17,5,8,3,9,42,4,38,0,0,3,20,9,14,80,64,0,0,0,3,3,8,3,1,4,21,14,P
2,4,1,0,4,2,23,3,1,5,6,7,1,86,14,0,0,0,0,2,7,1,0,5,7,6,2,5,2,1,7,1,20,2,1,3,7,7,1,90,15,0,0,0,0,2,7,1,0,5,8,6,P
2,1,2,0,3,1,10,4,0,0,3,6,2,34,9,0,0,0,0,1,2,2,1,8,13,2,3,2,3,0,1,0,8,4,0,0,3,6,2,35,11,0,0,0,0,1,2,2,1,8,14,1,P
3,1,5,0,10,1,26,3,0,0,6,4,2,74,21,0,0,0,0,0,2,1,0,3,7,9,4,1,4,0,12,0,18,3,0,0,5,5,1,89,19,0,0,0,0,0,2,1,0,3,5,11,P
0,3,9,0,4,1,12,1,0,0,1,2,1,41,5,0,0,1,0,1,2,1,0,1,11,4,0,3,9,0,5,0,15,2,0,0,1,3,1,38,6,0,0,1,0,1,2,1,0,1,11,3,P
5,5,1,5,21,7,21,2,0,1,5,2,8,29,67,0,0,1,0,0,3,7,0,2,3,8,2,4,1,5,21,6,14,2,0,0,4,2,8,31,64,0,0,1,0,0,5,7,1,2,3,8,P
5,5,11,1,18,4,24,1,0,1,13,5,9,57,61,0,0,0,0,1,13,8,2,3,13,18,4,4,11,1,21,4,26,1,0,0,13,4,8,55,59,0,0,0,0,1,18,6,4,3,14,21,P
4,2,6,0,4,8,51,10,0,0,0,5,1,159,13,0,0,0,1,0,11,3,0,5,16,4,5,3,7,0,4,10,54,9,0,0,0,4,1,150,11,0,0,0,1,0,11,4,1,5,18,4,P
27,14,9,5,47,3,42,3,0,4,12,12,23,75,140,0,0,1,1,4,6,10,3,10,10,24,6,8,15,0,15,1,26,7,0,2,9,11,8,35,18,0,0,0,1,2,2,3,0,1,14,5,P
10,12,2,3,26,4,26,4,0,7,15,8,37,59,114,0,0,0,0,0,4,6,2,9,8,18,5,10,2,3,33,4,28,5,0,7,14,9,37,57,107,0,0,0,0,0,6,7,1,10,9,19,P
12,12,12,2,28,6,41,17,0,0,11,17,13,90,101,0,0,0,0,0,4,16,4,6,16,27,0,1,6,0,1,0,2,1,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,2,3,1,P
1,4,2,0,3,2,22,2,0,3,6,5,4,83,5,0,0,0,0,0,2,2,0,1,6,7,0,5,2,0,5,2,25,2,0,2,6,2,4,76,3,0,0,0,0,0,1,1,0,2,8,8,P
17,14,15,2,55,8,65,18,0,4,24,26,28,105,122,0,0,2,9,3,13,15,2,16,23,27,19,14,14,2,48,6,63,14,0,5,28,24,27,115,121,0,0,1,5,2,10,17,4,14,19,28,P
24,21,16,4,61,15,77,19,0,17,30,25,35,139,123,0,0,2,5,7,17,12,3,16,23,27,26,19,21,7,62,16,78,19,0,16,31,26,34,150,129,0,0,1,6,8,17,8,3,17,22,25,P
29,11,6,10,72,6,8,14,1,13,19,20,43,13,199,0,0,1,7,0,5,9,5,7,6,50,29,11,6,10,72,6,8,14,1,13,19,20,43,13,199,0,0,1,7,0,5,9,5,7,6,50,P
6,12,6,1,18,5,59,5,0,1,17,10,20,192,7,0,0,2,0,3,14,6,0,14,40,5,5,12,5,0,19,6,58,3,0,2,17,9,20,203,7,0,0,2,0,2,14,5,0,13,33,5,P
24,14,4,11,73,6,36,9,1,19,37,19,56,92,176,0,0,6,13,5,33,23,7,14,24,34,25,15,4,11,71,6,35,9,1,19,36,19,56,91,176,0,0,6,13,6,33,23,7,15,24,34,P
3,4,4,1,4,5,54,3,0,4,20,6,7,175,10,0,0,0,1,2,47,3,6,14,19,3,4,0,4,1,2,6,54,3,0,1,14,6,4,180,9,0,0,0,1,4,51,2,6,14,25,2,P
20,12,7,3,43,5,52,11,0,3,20,20,20,75,94,0,0,0,4,5,19,15,2,11,23,17,19,12,9,3,42,6,54,12,0,4,25,19,20,79,91,0,0,0,4,4,21,13,2,9,21,20,P
5,1,9,0,6,0,1,0,0,0,1,3,2,1,90,0,0,0,0,0,0,1,0,0,0,10,4,2,14,0,4,0,3,4,0,0,0,2,0,1,78,0,0,0,0,0,0,3,0,1,0,16,P
5,3,7,1,23,1,33,13,0,2,11,11,13,72,80,0,0,0,0,0,3,6,0,8,16,14,5,4,5,1,24,2,36,13,0,3,14,12,12,68,78,0,0,0,0,1,2,7,0,9,18,15,P
0,0,4,0,0,2,9,4,0,0,1,2,1,21,1,0,0,0,0,0,0,0,0,0,4,2,1,1,2,0,5,1,7,4,0,0,0,3,0,5,16,0,0,0,0,0,0,0,0,0,4,2,P
27,30,16,5,62,6,43,31,0,14,37,18,36,49,190,0,0,0,6,7,14,30,4,11,18,35,25,29,16,4,66,5,43,30,0,14,36,20,35,48,195,0,0,0,6,7,15,29,4,11,18,33,P
3,8,10,3,9,2,25,12,0,0,4,10,6,75,43,0,0,0,0,0,3,2,0,12,14,13,4,8,12,3,6,2,20,9,0,0,5,13,7,62,47,0,0,0,0,0,2,1,0,13,17,11,P
5,9,38,1,16,1,38,7,0,3,12,8,9,132,125,0,0,0,0,0,4,2,0,4,25,33,6,7,37,0,18,2,40,10,0,3,13,7,9,133,125,0,0,0,0,0,4,0,0,4,24,32,P
21,6,11,5,32,10,40,10,0,8,18,24,18,83,85,0,0,0,3,1,14,8,4,5,8,25,19,6,10,3,32,10,46,11,0,7,19,26,16,80,82,0,0,1,3,1,16,11,4,8,9,25,P
12,8,6,5,41,7,58,9,0,4,26,19,24,82,106,0,0,2,8,7,14,16,3,19,18,17,15,11,5,8,42,8,54,9,0,3,30,19,28,76,99,0,0,2,6,4,13,19,4,18,19,21,P
4,5,4,2,23,3,30,4,0,7,12,6,10,77,54,0,0,0,1,1,9,3,3,3,9,13,4,5,12,0,14,2,38,0,0,3,23,6,12,68,48,0,0,0,2,3,17,8,3,5,11,10,P
13,15,9,2,22,2,8,10,0,3,3,4,20,7,163,0,0,0,0,0,2,7,0,4,0,17,13,15,11,2,25,2,7,11,0,3,3,4,20,7,162,0,0,0,0,0,2,8,1,2,0,16,P
12,7,3,0,25,6,43,12,0,6,5,15,12,58,75,0,0,0,0,2,7,7,1,10,15,7,14,11,3,0,21,1,35,15,0,5,4,16,14,63,74,0,0,0,0,2,4,8,0,12,15,14,P
13,12,7,0,24,0,16,9,0,4,4,0,11,12,143,0,0,0,0,0,2,5,1,4,3,17,12,8,7,0,34,0,15,7,0,2,3,0,11,11,150,0,0,0,0,0,0,3,1,4,4,14,P
8,6,12,4,25,4,54,7,0,0,8,11,13,144,65,0,0,0,0,0,9,12,3,4,22,21,6,5,15,4,26,3,54,6,0,1,8,8,11,146,65,0,0,0,0,0,10,10,3,3,24,18,P
1,0,19,0,1,1,5,13,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,2,5,4,4,4,0,6,0,6,15,0,1,5,1,10,18,43,0,0,0,0,0,0,4,0,1,4,9,P
0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,3,P
3,8,12,1,16,1,21,0,0,2,19,9,15,79,45,0,0,0,1,2,13,6,1,6,13,13,6,5,4,2,13,5,29,2,1,9,15,7,18,73,50,0,0,0,2,0,8,7,3,5,11,16,P
11,13,16,2,52,8,30,21,0,0,5,8,22,15,148,0,0,0,0,0,1,3,0,1,4,29,10,8,8,1,28,6,28,17,0,0,9,7,24,17,102,0,0,0,0,0,1,6,1,0,1,40,P
10,9,6,0,14,5,32,5,0,1,14,4,9,73,46,0,0,0,0,0,6,1,0,4,7,12,7,4,4,5,24,3,23,3,0,8,14,5,11,68,50,0,0,1,1,1,8,7,3,4,10,12,P
13,2,6,0,22,3,8,5,0,0,5,4,13,3,95,0,0,0,0,1,0,10,0,0,1,10,15,4,6,0,18,1,9,4,0,0,3,3,14,4,90,0,0,0,0,0,0,9,1,1,0,15,P
4,8,2,0,9,2,42,9,0,0,5,9,10,133,48,0,0,0,0,0,4,2,0,5,16,24,0,2,5,0,1,1,17,5,0,1,2,5,2,61,2,0,0,0,0,0,1,0,0,3,8,2,P
9,7,10,3,20,7,48,12,0,7,12,8,9,120,54,0,0,2,1,2,10,3,2,5,15,11,8,6,8,4,20,12,46,12,0,5,13,7,8,116,54,0,0,1,2,2,8,4,1,6,18,10,P
0,2,4,0,5,2,16,5,0,0,1,6,3,47,28,0,0,0,0,0,0,0,0,2,8,4,4,4,18,0,8,1,30,7,0,0,7,6,1,91,10,0,0,0,0,0,2,1,0,9,21,7,P
8,5,8,0,2,1,16,7,0,1,6,6,4,37,9,0,0,0,0,0,3,7,3,2,14,10,5,4,8,0,2,0,17,6,0,1,5,8,6,46,18,0,0,0,0,0,1,3,0,1,8,4,P
47,43,16,10,112,22,101,18,2,18,48,30,60,209,345,0,0,1,6,1,27,28,6,12,49,114,47,34,12,15,130,15,104,25,2,11,45,16,63,231,340,0,0,1,5,5,22,20,4,7,42,113,P
14,15,15,3,36,6,90,11,0,1,17,16,13,187,44,0,0,0,2,2,31,6,2,13,55,14,17,14,15,2,35,6,89,10,0,1,18,13,15,184,47,0,0,0,2,3,34,3,3,13,58,13,P
6,7,8,5,43,1,10,9,0,14,16,3,28,5,125,0,0,3,6,1,7,19,1,2,1,17,4,6,9,4,35,1,3,9,0,19,19,4,26,6,128,0,0,4,8,1,7,19,1,2,1,16,P
21,15,4,6,51,15,83,11,0,6,19,20,19,144,97,0,0,1,2,5,31,12,3,15,24,17,22,15,4,5,48,16,83,13,0,5,19,17,22,140,102,0,0,1,2,5,30,10,3,15,24,15,P
6,8,16,1,15,1,29,5,0,2,5,6,5,58,68,0,0,0,3,1,5,7,1,2,7,22,6,8,16,1,15,1,29,5,0,2,5,6,5,58,68,0,0,0,3,1,5,7,1,2,7,22,P
2,2,1,0,2,4,22,3,0,0,7,1,2,67,2,0,0,0,0,0,3,1,2,5,11,6,2,1,1,0,1,1,14,4,0,0,8,3,0,77,3,0,0,0,0,0,4,1,3,4,10,5,P
17,20,7,9,28,9,18,6,2,7,9,1,31,23,80,0,0,0,2,1,0,1,0,0,7,21,17,20,7,9,28,9,18,6,2,7,9,1,31,23,80,0,0,0,2,1,0,1,0,0,7,21,P
