@relation 8noSC_sum_tra_sz1_it2

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

11,6,4,2,23,3,38,13,0,0,7,7,7,54,87,0,0,0,0,0,0,1,0,3,13,18,P
10,4,40,2,40,12,89,20,0,6,31,15,19,145,92,0,0,0,0,5,15,4,3,20,44,14,P
18,11,16,2,32,0,8,4,0,2,6,5,31,6,198,0,0,2,0,0,1,18,0,0,0,8,P
25,12,8,4,43,2,7,9,0,1,18,6,46,5,276,0,0,0,0,0,0,11,2,2,3,38,P
21,21,38,8,63,8,66,14,0,4,14,22,16,155,139,0,0,0,0,2,10,6,2,14,31,32,P
59,29,11,21,156,14,85,10,0,40,66,30,86,194,357,0,0,2,7,7,26,28,5,42,43,63,P
6,2,8,0,2,0,1,0,0,0,0,0,8,0,37,0,0,0,0,0,0,0,0,0,0,34,P
4,3,14,0,15,0,39,2,0,1,4,3,7,133,75,0,0,0,0,0,0,0,2,1,16,16,P
15,10,44,0,38,12,89,23,0,0,8,15,6,162,112,0,0,0,0,0,2,4,0,16,25,14,P
16,16,17,8,71,9,64,44,0,3,22,22,23,121,208,0,0,0,2,5,16,9,1,13,27,58,P
14,11,8,2,24,11,33,14,0,0,10,4,10,70,141,0,0,0,0,0,0,2,0,0,10,30,P
18,26,40,3,29,9,81,31,0,3,17,17,18,94,139,0,0,0,4,0,12,12,7,5,34,41,P
36,24,22,8,80,12,60,32,0,16,38,56,58,84,278,0,0,2,0,2,20,16,2,14,28,76,P
17,8,4,3,30,4,14,15,0,3,2,4,10,8,181,0,0,0,0,0,4,14,2,0,2,21,P
13,9,23,10,55,4,51,17,0,2,32,21,20,131,161,0,0,0,1,8,30,19,4,14,36,40,P
24,11,12,9,50,8,70,8,0,7,28,25,23,151,103,0,0,0,2,1,12,8,5,9,14,27,P
33,30,19,19,76,10,117,25,0,13,57,37,58,267,188,0,0,2,8,3,22,28,4,25,68,61,P
44,29,6,6,90,20,159,33,0,11,40,34,39,294,199,0,0,2,7,7,65,17,6,24,38,37,P
16,12,24,6,57,10,58,20,0,6,11,26,17,143,184,0,0,0,0,0,4,11,2,10,23,27,P
