@relation 8yesSC_sum_tra_sz1_it3

@attribute RCC1 numeric
@attribute RCC2 numeric
@attribute RCC3 numeric
@attribute RCC4 numeric
@attribute RCC5 numeric
@attribute RCC6 numeric
@attribute RCC7 numeric
@attribute RCC8 numeric
@attribute RCC9 numeric
@attribute RCC10 numeric
@attribute RCC11 numeric
@attribute RCC12 numeric
@attribute RCC13 numeric
@attribute RCC14 numeric
@attribute RCC15 numeric
@attribute RCC16 numeric
@attribute RCC17 numeric
@attribute RCC18 numeric
@attribute RCC19 numeric
@attribute RCC20 numeric
@attribute RCC21 numeric
@attribute RCC22 numeric
@attribute RCC23 numeric
@attribute RCC24 numeric
@attribute RCC25 numeric
@attribute RCC26 numeric
@attribute Class {P,N}

@data

12,0,0,58,34,0,24,4,58,146,58,28,62,16,22,6,58,66,86,44,70,30,2,24,42,36,P
16,2,2,74,58,4,48,16,28,108,118,54,38,28,12,0,50,112,68,78,182,40,6,50,130,34,P
1,0,0,12,9,1,10,2,29,35,55,12,16,14,3,0,23,88,21,24,96,13,2,22,77,9,P
9,0,0,39,15,0,7,2,28,53,85,27,35,19,0,3,31,105,92,76,199,31,9,37,61,17,P
0,0,1,9,11,2,3,2,22,67,54,6,22,5,1,5,58,103,73,40,108,11,5,15,31,24,P
0,0,0,0,1,0,2,0,0,4,5,0,3,1,2,0,4,6,4,0,9,2,0,0,25,10,P
1,0,0,12,27,1,9,5,17,50,43,4,14,2,9,11,47,83,48,38,95,3,3,15,26,28,P
0,0,0,12,12,0,0,2,25,46,31,14,14,5,0,10,38,58,40,46,76,12,6,19,19,3,P
5,0,0,22,18,0,6,2,26,73,31,15,34,6,5,7,34,61,43,21,73,23,5,6,24,51,P
2,1,0,37,37,0,8,0,39,114,44,9,35,6,7,6,82,74,83,39,128,12,10,12,27,38,P
22,4,2,74,54,2,50,24,40,132,130,40,42,26,18,0,28,134,58,76,176,50,6,48,116,30,P
0,0,0,0,2,0,0,3,0,3,2,7,0,2,3,0,0,0,0,4,3,5,1,2,0,15,P
1,0,0,17,8,0,4,1,11,19,32,11,11,5,2,2,9,31,21,16,58,6,1,14,21,2,P
8,0,0,32,42,0,8,4,18,70,50,30,40,6,6,2,42,72,74,34,80,22,8,20,44,36,P
11,4,0,42,43,0,23,2,55,139,65,21,34,20,8,7,60,80,66,60,110,29,7,29,42,41,P
0,1,1,14,12,0,3,4,6,28,31,12,15,5,7,1,26,43,40,18,49,14,2,14,21,17,P
13,6,3,73,48,2,7,17,22,180,85,32,67,15,16,10,54,127,126,87,164,26,12,25,46,81,P
0,0,0,9,9,0,0,0,1,28,7,0,21,0,0,0,2,5,18,13,15,4,0,0,0,15,P
0,0,0,24,4,0,1,0,18,44,32,0,7,6,4,12,24,59,34,18,46,12,4,13,29,16,P
0,3,5,1,5,0,3,5,1,4,6,8,6,4,4,0,3,5,5,11,12,5,1,5,11,6,P
6,2,2,45,56,2,5,0,40,155,74,11,59,10,5,21,100,185,139,80,145,39,18,23,26,34,P
3,0,4,35,37,0,4,9,27,107,34,28,51,6,6,3,50,69,113,75,78,26,14,7,4,49,P
7,1,0,21,12,1,2,6,17,45,57,17,17,11,1,3,14,72,26,23,119,14,8,33,63,10,P
3,1,2,18,18,0,11,7,20,45,30,5,12,7,1,1,22,27,20,15,31,3,3,8,32,21,P
0,3,0,24,9,0,5,0,6,39,26,1,16,4,2,9,37,59,29,23,86,12,5,10,37,21,P
3,0,0,17,18,1,2,3,15,37,27,9,16,6,4,0,10,31,25,21,50,15,1,8,20,20,P
5,3,1,20,25,0,3,2,15,57,33,9,16,3,1,1,29,46,43,44,63,28,9,17,15,7,P
3,0,4,23,13,0,1,1,5,19,20,2,11,3,5,0,8,41,17,22,71,7,2,12,24,37,P
2,0,0,2,0,0,0,4,16,14,0,2,8,0,0,2,31,14,19,2,8,2,4,0,0,4,P
1,2,0,40,51,0,6,2,37,130,69,6,60,3,3,11,74,120,113,74,151,14,9,32,33,72,P
0,0,0,4,0,0,0,0,1,1,10,0,0,6,0,0,4,9,6,5,35,0,0,16,30,4,P
0,0,0,20,29,0,7,2,54,109,110,13,33,18,2,10,71,112,76,31,134,26,8,10,24,41,P
0,1,0,7,17,0,2,0,9,39,6,0,8,0,1,1,10,3,12,5,9,5,0,0,0,25,P
13,4,0,54,43,3,12,2,43,109,97,28,34,6,4,5,58,167,80,72,237,29,16,32,71,9,P
5,4,0,50,49,3,10,0,20,88,64,18,32,11,8,2,28,55,28,47,73,23,9,10,64,42,P
5,0,1,12,21,0,3,1,11,64,19,7,20,1,6,2,18,20,27,19,32,22,5,6,0,33,P
7,0,0,20,16,0,2,0,6,48,20,3,10,9,4,4,36,49,29,15,45,11,1,3,19,11,P
